id,date,date_source,title,url,pdf,match_conf,words
_1aGen3q2_g,2017-11-30,yt_title,"Mohnish Pabrai Lecture at Boston College (Carroll School of Mgmt) - Nov 30, 2017",https://www.youtube.com/watch?v=_1aGen3q2_g,mohnish_pabrai’s_lecture_at_the_boston_college__carroll_school_of_management__on_nov_30_2017_v2.pdf,date+kw,18369
z74NaYRyMJo,2017-12-22,yt_title,"Mohnish Pabrai Lecture at Peking University (Guanghua School of Mgmt) - Dec 22, 2017",https://www.youtube.com/watch?v=z74NaYRyMJo,mohnish_pabrai_lecture_at_peking_university__guanghua_school_of_mgmt__on_dec_22_2017_v2.pdf,date+kw,15931
9tGjXPhnp-s,2018-10-04,site,The Ten Commandments of Investment Management,https://www.youtube.com/watch?v=9tGjXPhnp-s,the_ten_commandments_of_investment_management_v2.pdf,weak,17518
5XJ88nRtF0I,2018-10-24,yt_title,"Mohnish Pabrai at Annual Morningstar India Conference on October 24, 2018",https://www.youtube.com/watch?v=5XJ88nRtF0I,mohnish_pabrai_at_annual_morningstar_india_conference_on_oct_24_2018_v2.pdf,date+kw,6956
_0XPurSI9cQ,2019-02-21,yt_title,"Mohnish Pabrai speaks at Trinity College Dublin - February 21, 2019",https://www.youtube.com/watch?v=_0XPurSI9cQ,mohnish_pabrai’s_session_at_the_trinity_college__dublin_on_february_21__2019_v2.pdf,date+kw,13707
Kax8XnBU1ik,2019-05-01,site,Mohnish Pabrai’s Lecture and Q&A with students of Peking University (Guanghua School of Mgmt.),https://www.youtube.com/watch?v=Kax8XnBU1ik,mohnish_pabrai’s_q_a_with_peking_university__guanghua_school_of_mgmt__on_may_01_2019_v2.pdf,manual,12979
N0TwWxGxYs0,2019-05-14,pdf,Mohnish Pabrai's Webcast Q&A Session with Students at London Business School,https://www.youtube.com/watch?v=N0TwWxGxYs0,mohnish_pabrais_qa_session_with_students_at_london_business_school_on_may_14_2019_v2.pdf,manual,10067
kdGltV0eomU,2019-11-07,yt_title,"Mohnish Pabrai Lecture at Boston College (Carroll School of Mgmt) - November 7, 2019",https://www.youtube.com/watch?v=kdGltV0eomU,mohnish_pabrai_lecture_at_boston_college__carroll_school_of_mgmt__v2.pdf,date+kw,14485
iW0Mv9zVt0o,2020-04-07,yt_title,"Q&A Session with Francis Chou at Harvard - April 7, 2020",https://www.youtube.com/watch?v=iW0Mv9zVt0o,mohnish_pabrai’s_q_a_session_with_francis_chou_at_harvard_university_v2.pdf,date+kw,19075
_2aFw40NqP8,2020-05-08,yt_title,"Ramesh Damani & Mohnish Pabrai Q&A with Millennium Mams' - May 8, 2020",https://www.youtube.com/watch?v=_2aFw40NqP8,mohnish_pabrai___ramesh_damani_qa_session_with_millennium_mams_on_may_8_2020_v2.pdf,date+kw,13667
w2hnOllfpwI,2020-05-21,yt_title,"Fireside Chat with Jeff Pintar on my lifetime Blackjack ban at a Vegas Casino on May 21, 2020",https://www.youtube.com/watch?v=w2hnOllfpwI,fireside_chat_with_jeff_pintar__mohnish_pabrai_on_may_21_2020_v2.pdf,date+kw,9079
nogBvLWB6cU,2020-05-29,yt_title,"Q&A with Radhika Gupta & Mohnish Pabrai - May 29, 2020",https://www.youtube.com/watch?v=nogBvLWB6cU,mohnish_pabrais_qa_session_with_radhika_gupta_on_may_29_2020_v2.pdf,date+kw,8050
